,ENCnum,ENCtime
214,4294967083.0,18124761.0
215,4294967082.0,18131348.0
216,4294967081.0,18137909.0
217,4294967080.0,18144413.0
218,4294967079.0,18150871.0
219,4294967078.0,18157295.0
220,4294967077.0,18163679.0
221,4294967076.0,18170016.0
222,4294967075.0,18176357.0
223,4294967074.0,18182709.0
224,4294967073.0,18189078.0
225,4294967072.0,18195411.0
226,4294967071.0,18201729.0
227,4294967070.0,18208027.0
228,4294967069.0,18214308.0
229,4294967068.0,18220584.0
230,4294967067.0,18226851.0
231,4294967066.0,18233119.0
232,4294967065.0,18239357.0
233,4294967064.0,18245603.0
234,4294967063.0,18251815.0
235,4294967062.0,18258009.0
236,4294967061.0,18264178.0
237,4294967060.0,18270343.0
238,4294967059.0,18276512.0
239,4294967058.0,18282666.0
240,4294967057.0,18288813.0
241,4294967056.0,18294931.0
242,4294967055.0,18301020.0
243,4294967054.0,18307082.0
244,4294967053.0,18313122.0
245,4294967052.0,18319148.0
246,4294967051.0,18325193.0
247,4294967050.0,18331229.0
248,4294967049.0,18337284.0
249,4294967048.0,18343316.0
250,4294967047.0,18349336.0
251,4294967046.0,18355359.0
252,4294967045.0,18361361.0
253,4294967044.0,18367366.0
254,4294967043.0,18373340.0
255,4294967042.0,18379285.0
256,4294967041.0,18385184.0
257,4294967040.0,18391042.0
258,4294967039.0,18396878.0
259,4294967038.0,18402668.0
260,4294967037.0,18408438.0
261,4294967036.0,18414172.0
262,4294967035.0,18419876.0
263,4294967034.0,18425589.0
264,4294967033.0,18431307.0
265,4294967032.0,18437008.0
266,4294967031.0,18442715.0
267,4294967030.0,18448420.0
268,4294967029.0,18454137.0
269,4294967028.0,18459862.0
270,4294967027.0,18465596.0
271,4294967026.0,18471317.0
272,4294967025.0,18477007.0
273,4294967024.0,18482680.0
274,4294967023.0,18488328.0
275,4294967022.0,18493949.0
276,4294967021.0,18499533.0
277,4294967020.0,18505089.0
278,4294967019.0,18510646.0
279,4294967018.0,18516184.0
280,4294967017.0,18521714.0
281,4294967016.0,18527229.0
282,4294967015.0,18532729.0
283,4294967014.0,18538243.0
284,4294967013.0,18543760.0
285,4294967012.0,18549273.0
286,4294967011.0,18554777.0
287,4294967010.0,18560260.0
288,4294967009.0,18565732.0
289,4294967008.0,18571208.0
290,4294967007.0,18576685.0
291,4294967006.0,18582158.0
